ID	Con_ID	Type	Index_Con	Index_Ref
0	0	Ins	1365	1364
1	0	Ins	5166	5164
2	0	Mis	1774	1772
3	0	Mis	1834	1832
4	0	Mis	3223	3221
5	0	Mis	3276	3274
6	0	Mis	4220	4218
7	0	Mis	5348	5345
8	0	Mis	5843	5840
9	0	Mis	5962	5959
10	0	Mis	6482	6479
11	1	Del	671	670
12	1	Del	2742	2741
13	1	Ins	216	215
14	1	Ins	3234	3232
15	1	Ins	5674	5671
16	1	Mis	1650	1648
17	1	Mis	1781	1779
18	1	Mis	1885	1883
19	1	Mis	2448	2446
20	1	Mis	3026	3024
21	1	Mis	4358	4355
22	1	Mis	6479	6475
23	2	Del	4406	4403
24	2	Del	5564	5561
25	2	Ins	2430	2429
26	2	Ins	3809	3807
27	2	Ins	4035	4032
28	2	Mis	134	133
29	2	Mis	197	196
30	2	Mis	226	225
31	2	Mis	299	298
32	2	Mis	322	321
33	2	Mis	512	511
34	2	Mis	647	646
35	2	Mis	648	647
36	2	Mis	678	677
37	2	Mis	711	710
38	2	Mis	769	768
39	2	Mis	860	859
40	2	Mis	906	905
41	2	Mis	967	966
42	2	Mis	977	976
43	2	Mis	1005	1004
44	2	Mis	1034	1033
45	2	Mis	1085	1084
46	2	Mis	1108	1107
47	2	Mis	1115	1114
48	2	Mis	1154	1153
49	2	Mis	1161	1160
50	2	Mis	1187	1186
51	2	Mis	1229	1228
52	2	Mis	1279	1278
53	2	Mis	1448	1447
54	2	Mis	1597	1596
55	2	Mis	1685	1684
56	2	Mis	1708	1707
57	2	Mis	1900	1899
58	2	Mis	2055	2054
59	2	Mis	2094	2093
60	2	Mis	2175	2174
61	2	Mis	2202	2201
62	2	Mis	2266	2265
63	2	Mis	2471	2469
64	2	Mis	2505	2503
65	2	Mis	2529	2527
66	2	Mis	2647	2645
67	2	Mis	2651	2649
68	2	Mis	2672	2670
69	2	Mis	2686	2684
70	2	Mis	2744	2742
71	2	Mis	2954	2952
72	2	Mis	2977	2975
73	2	Mis	3066	3064
74	2	Mis	3073	3071
75	2	Mis	3276	3274
76	2	Mis	3370	3368
77	2	Mis	3532	3530
78	2	Mis	3569	3567
79	2	Mis	3628	3626
80	2	Mis	3664	3662
81	2	Mis	3669	3667
82	2	Mis	3736	3734
83	2	Mis	3769	3767
84	2	Mis	3781	3779
85	2	Mis	4029	4026
86	2	Mis	4032	4029
87	2	Mis	4081	4077
88	2	Mis	4161	4157
89	2	Mis	4268	4264
90	2	Mis	4278	4274
91	2	Mis	4294	4290
92	2	Mis	4380	4376
93	2	Mis	4396	4392
94	2	Mis	4447	4443
95	2	Mis	4490	4486
96	2	Mis	4499	4495
97	2	Mis	4554	4550
98	2	Mis	4677	4673
99	2	Mis	4684	4680
100	2	Mis	4742	4738
101	2	Mis	4828	4824
102	2	Mis	4850	4846
103	2	Mis	4928	4924
104	2	Mis	5029	5025
105	2	Mis	5144	5140
106	2	Mis	5186	5182
107	2	Mis	5382	5378
108	2	Mis	5434	5430
109	2	Mis	5483	5479
110	2	Mis	5523	5519
111	2	Mis	5539	5535
112	2	Mis	5546	5542
113	2	Mis	5594	5590
114	2	Mis	5664	5660
115	2	Mis	5698	5694
116	2	Mis	5734	5730
117	2	Mis	5749	5745
118	2	Mis	5754	5750
119	2	Mis	5825	5821
120	2	Mis	5866	5862
121	2	Mis	5882	5878
122	2	Mis	6007	6003
123	2	Mis	6151	6147
124	2	Mis	6180	6176
125	2	Mis	6285	6281
126	2	Mis	6363	6359
127	2	Mis	6406	6402
128	2	Mis	6442	6438
129	2	Mis	6522	6518
